invoice_number,vendor_id,delivery_method,menu_items,invoice_date,tax,total,customer_id
43103,3,pickup,3 Doritos Locos Tacos Combo,2023-01-01,0.04500,9.29,7779
43104,3,pickup,Chips And Nacho Cheese Sauce|Pintos N Cheese,2023-01-01,0.07000,4.15,1401
43105,2,delivery,15pc Meal for 2 Mix & Match|15pc Meal for 2 Classic,2023-01-01,0.05500,52.94,5081
43106,1,pickup,Double Smoky BLT Quarter Pounder With Cheese|Scrambled Eggs|Medium Caramel Mocha,2023-01-01,0.07000,15.59,2245
43107,2,delivery,Veggie Sticks Carrots Only|Large 10 pc Wing Combo Boneless|Iced Tea 20oz,2023-01-01,0.02900,17.26,2360
43108,3,pickup,Grande Toasted Breakfast Burrito Combo|Black Beans And Rice,2023-01-01,0.06000,7.93,818
43109,1,delivery,Medium Root Beer|Blueberry & Creme Pie|Hot Fudge Sundae,2023-01-01,0.07000,8.31,568
43180,2,delivery,16pc Crispy Tender Pack,2023-01-01,0.04500,33.22,3911
43110,1,pickup,Spicy Deluxe Crispy Chicken Sandwich Meal,2023-01-01,0.06100,9.54,5403
43111,3,pickup,Hot Sauce Packet|White Hot Ranch Fries Burrito Veggie,2023-01-01,0.07250,3.21,2344
43112,2,pickup,Iced Tea 32oz,2023-01-01,0.02900,3.39,7962
43113,1,pickup,Creamy Ranch Sauce|Medium Decaf Coffee,2023-01-01,0.06850,2.13,1531
43114,1,pickup,Spicy Deluxe Crispy Chicken Sandwich|Regular Oreo McFlurry,2023-01-01,0.07250,11.03,4830
43115,2,pickup,50pc Party Pack Classic|Small 3 pc Crispy Tender Combo|75 Wings Mix & Match,2023-01-01,0.04225,167.46,1818
43116,2,pickup,20 Crispy Tenders|Medium 8 pc Wing Combo Boneless|30pc Crew Pack Boneless,2023-01-01,0.02900,78.58,9095
43117,1,pickup,Medium Root Beer|Cheese Danish|Biscuit,2023-01-01,0.00000,5.67,9045
43118,3,delivery,Chips And Nachos Cheese Sauce,2023-01-01,0.04000,2.28,8948
43119,1,pickup,Hot N Spicy McChicken Biscuit|Medium Fanta Orange|Hash Browns,2023-01-01,0.06850,6.91,9273
43120,2,pickup,20 Wings Mix & Match|30pc Crew Pack Mix & Match|Veggie Sticks Carrots Only,2023-01-01,0.06625,70.55,9592
43121,3,delivery,Classic Combo,2023-01-01,0.02900,5.15,2798
43122,2,delivery,75 Wings Boneless|Small 6 pc Wing Combo Mix & Match|Cajun Fried Corn Regular,2023-01-01,0.06250,95.27,9530
43123,2,pickup,24pc Family Pack Classic|(1) 24pc Family Pack Classic,2023-01-01,0.07250,73.98,4569
43124,1,delivery,Hash Browns,2023-01-01,0.06625,3.19,2379
43125,1,pickup,Double Quarter Cheese Deluxe|Sausage Egg Cheese Biscuit Meal,2023-01-01,0.05500,13.59,7762
43126,1,pickup,2 Half Strips Bacon|Hotcakes & Sausage|Strawberry Preserve,2023-01-01,0.06000,7.82,9160
43127,2,delivery,15pc Meal for 2 Boneless|100pc Pack Classic,2023-01-01,0.05750,160.19,367
43128,2,pickup,100pc Pack Boneless,2023-01-01,0.05600,116.57,1309
43129,2,delivery,Small 6 pc Wing Combo Boneless|15pc Meal for 2 Mix & Match|4 Crispy Tenders,2023-01-01,0.06250,43.96,75
43130,1,delivery,Medium Vanilla Shake|English McMuffin,2023-01-01,0.07250,5.77,1111
43131,3,delivery,Breakfast Salsa,2023-01-01,0.04225,0.00,7862
43132,2,delivery,10 Wings Classic,2023-01-01,0.02900,12.23,7734
43133,2,pickup,Veggie Sticks Celery Only|20 Crispy Tenders,2023-01-01,0.06500,37.79,6136
43134,1,delivery,Sausage Egg Cheese McGriddle|Egg McMuffin|Chicken McGriddle,2023-01-01,0.05500,12.94,9811
43135,3,pickup,Chipotle Ranch Grilled Chicken Burrito|Diablo Sauce Packet|2 Chicken Chalupas Supreme,2023-01-01,0.05500,14.23,4138
43136,3,delivery,Mtn Dew Baja Blast Zero Sugar|Nachos BellGrande,2023-01-01,0.05600,9.91,4953
43137,1,delivery,Medium Mango Pineapple Smoothie|Hamburger|Pepper Packet,2023-01-01,0.05500,5.99,8561
43138,3,delivery,Soft Taco Party Pack,2023-01-01,0.04750,21.99,815
43139,1,pickup,Sausage,2023-01-01,0.06625,1.80,8676
43140,2,pickup,Medium 8 pc Wing Combo Classic|4 Crispy Tenders,2023-01-01,0.06000,21.71,7716
43141,2,pickup,10 Wings Classic|50 Wings Classic|20 Crispy Tenders,2023-01-01,0.06625,109.90,922
43142,3,pickup,Veggie Mexican Pizza|Chips And Nachos Cheese Sauce,2023-01-01,0.05300,7.56,4179
43143,3,delivery,Hot Cinnamon Delights Coffee|Nacho Cheese Sauce|3 Doritos Locos Tacos Supreme Combo,2023-01-01,0.05600,14.02,3759
43144,3,pickup,Soft Taco Party Pack|Lipton Unsweetened Iced Tea|Beefy 5-Layer Burrito,2023-01-01,0.06850,29.78,8221
43145,1,pickup,Bacon Egg Cheese Bagel Meal|Filet O Fish,2023-01-01,0.05750,10.87,1496
43146,1,pickup,Bacon Quarter Pounder With Cheese Meal|2 Sausage Burrito Meal|Hamburger,2023-01-01,0.05500,17.38,3031
43147,3,pickup,Reduced-Fat Sour Cream,2023-01-01,0.06250,0.80,8314
43148,2,delivery,Cajun Friend Corn Large,2023-01-01,0.06875,5.55,8224
43149,3,pickup,Wild Cherry Freeze,2023-01-01,0.07000,4.16,8053
43150,3,pickup,Bean Burrito|Ultimate Game Day Box,2023-01-01,0.05000,24.77,8909
43151,3,pickup,Chipotle Sauce|Lipton Unsweetened Iced Tea,2023-01-01,0.06500,3.29,8069
43152,2,delivery,50 Wings Classic|15 Wings Boneless|30 Wings Classic,2023-01-01,0.05300,114.01,165
43153,1,pickup,Medium Iced Caramel Mocha,2023-01-01,0.05300,3.67,4074
43154,2,delivery,40pc Group Pack Mix & Match|20 Wings Mix & Match,2023-01-01,0.06350,80.70,4094
43155,1,pickup,Medium Fanta Orange|Big Mac,2023-01-01,0.05500,6.94,5083
43156,1,pickup,Medium Unsweetened Iced Tea|Quarter Pounder With Cheese Meal,2023-01-01,0.07000,10.79,1910
43157,1,delivery,Hamburger – Happy Meal,2023-01-01,0.04500,4.38,2180
43158,3,pickup,Power Menu Bowl Veggie,2023-01-01,0.06100,7.10,892
43159,2,delivery,7 Crispy Tenders|Veggie Sticks Carrots Only,2023-01-01,0.07250,14.24,7190
43160,1,pickup,Spicy Crispy Chicken Sandwich Meal,2023-01-01,0.06000,8.47,6419
43161,1,delivery,Honey Packet|Ranch Dressing|Egg Biscuit,2023-01-01,0.04750,2.71,5305
43162,1,pickup,Double Bacon Quarter Pounder With Cheese|Spicy Deluxe Crispy Chicken Sandwich Meal|Regular M&M McFlurry,2023-01-01,0.05750,22.70,5663
43163,1,delivery,Medium Sprite|4 Piece McNuggets,2023-01-01,0.05500,4.20,8353
43164,3,delivery,Chips And Nachos Cheese Sauce,2023-01-01,0.06875,2.34,9319
43165,3,delivery,Steak Quesadilla|3 Soft Tacos Supreme Combo,2023-01-01,0.04500,17.01,1994
43166,1,pickup,Medium Iced Coffee,2023-01-01,0.06625,2.87,7067
43167,2,pickup,Large 10 pc Wing Combo Classic,2023-01-01,0.06850,16.34,1970
43168,3,pickup,3 Doritos Locos Tacos Supreme Combo,2023-01-01,0.06875,10.89,8305
43169,2,delivery,Triple Chocolate Chunk Brownie|(1) Triple Chocolate Chunk Brownie,2023-01-01,0.04500,4.37,6363
43170,3,delivery,Classic Combo,2023-01-01,0.06250,5.31,6865
43171,1,pickup,10 Piece McNuggets|Hotcakes|Butter,2023-01-01,0.05600,9.59,5982
43172,3,pickup,Diet Mountain Dew (Small)|Mug Root Beer (Small),2023-01-01,0.06250,5.72,5390
43173,1,pickup,Medium Caramel Macchiato,2023-01-01,0.02900,3.39,4635
43174,1,pickup,Regular M&M McFlurry,2023-01-01,0.05300,4.52,723
43175,2,pickup,30 Wings Boneless|24pc Family Pack Boneless,2023-01-01,0.07250,61.65,7623
43176,3,delivery,Diet Mountain Dew (Large),2023-01-01,0.06250,3.07,1378
43177,2,pickup,20 Crispy Tenders|24pc Family Pack Classic|75 Wings Mix & Match,2023-01-01,0.02900,158.13,339
43178,1,delivery,Medium Strawberry Banana Smoothie|Medium Hot Tea,2023-01-01,0.05750,5.27,6549
43179,1,delivery,Ketchup Packet|Hot & Spicy Chicken McGriddle,2023-01-01,0.06875,3.20,9427
43181,3,pickup,My Cravings Box|Breakfast Quesadilla Steak,2023-01-01,0.06350,8.82,9390
43182,2,pickup,Cajun Friend Corn Large,2023-01-01,0.04750,5.44,6374
43183,1,pickup,Medium Iced Caramel Mocha|McChicken,2023-01-01,0.06625,7.02,7037
43184,3,delivery,Cheesy Roll Up|Spicy Potato Soft Taco,2023-01-01,0.04500,2.09,5511
43185,2,pickup,15 Wings Classic|Veggie Sticks,2023-01-01,0.06875,20.61,2656
43186,3,pickup,Cheesy Fiesta Potatoes|White Hot Ranch Fries Burrito Veggie,2023-01-01,0.07250,5.13,5324
43187,3,delivery,Blue Raspberry Electric Strawberry Freeze|Diet Mountain Dew (Small),2023-01-01,0.07250,7.06,1596
43188,1,delivery,Medium Premium Hot Chocolate|Egg Biscuit Meal,2023-01-01,0.04225,6.96,5290
43189,2,delivery,30pc Crew Pack Mix & Match|Cheese Fries Large,2023-01-01,0.00000,47.18,1964
